Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		3,512 K	13,244 K	4476	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,756 K	7,524 K	5532	Host Process for Windows Services	Microsoft Corporation
  vmware-hostd.exe	< 0.01	31,332 K	52,764 K	6044		
  svchost.exe		1,964 K	8,832 K	3036	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe	< 0.01	35,208 K	55,260 K	6196	Microsoft Windows Search 인덱서	Microsoft Corporation
  svchost.exe		7,640 K	20,724 K	6912	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,940 K	34,292 K	4916	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,584 K	19,296 K	7056	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,784 K	8,304 K	7348	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe		4,352 K	21,392 K	7408	CTF Loader	Microsoft Corporation
  svchost.exe		4,384 K	16,844 K	7456	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	4,612 K	25,656 K	8048	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,048 K	10,116 K	8340	Host Process for Windows Services	Microsoft Corporation
  NisSrv.exe		5,032 K	12,328 K	9460		
  SecurityHealthService.exe		4,712 K	16,044 K	9856		
  svchost.exe		1,728 K	6,412 K	9988	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		12,800 K	20,332 K	10028	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,352 K	10,020 K	10548	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		29,704 K	45,704 K	10652	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	2,604 K	8,480 K	7444	Host Process for Windows Services	Microsoft Corporation
  SgrmBroker.exe		5,864 K	7,744 K	10984		
  svchost.exe		1,760 K	7,916 K	9944	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,104 K	11,136 K	10184		
